State,StateCode,CityCodeSmall,CityCode,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
RS,43,11700,4311700,Machadinho,"5,427",Sim,2,1,15,1
RS,43,11718,4311718,Maçambará,"4,562",Sim,3,2,9,2
RS,43,11734,4311734,Mampituba,"2,973",Sim,1,1,8,1
RS,43,11759,4311759,Manoel Viana,"7,307",Sim,2,2,14,4
RS,43,11775,4311775,Maquiné,"6,681",Sim,3,3,10,3
RS,43,11791,4311791,Maratá,"2,702",Sim,1,2,6,1
RS,43,11809,4311809,Marau,"44,858",Sim,17,12,62,15
RS,43,11908,4311908,Marcelino Ramos,"4,319",Sim,7,3,13,2
RS,43,11981,4311981,Mariana Pimentel,"3,888",Sim,0,0,2,1
RS,43,12005,4312005,Mariano Moro,"2,009",Sim,1,2,6,1
RS,43,12054,4312054,Marques de Souza,"3,995",Sim,4,3,7,2
RS,43,12104,4312104,Mata,"4,797",Sim,3,3,10,3
RS,43,12138,4312138,Mato Castelhano,"2,542",Sim,1,1,6,1
RS,43,12153,4312153,Mato Leitão,"4,573",Sim,2,2,10,2
RS,43,12179,4312179,Mato Queimado,"1,629",Sim,2,2,5,2
RS,43,12203,4312203,Maximiliano de Almeida,"4,314",Sim,2,2,13,2
RS,43,12252,4312252,Minas do Leão,"8,103",Sim,2,2,9,2
RS,43,12302,4312302,Miraguaí,"4,911",Sim,2,2,12,2
RS,43,12351,4312351,Montauri,"1,441",Sim,2,2,4,1
RS,43,12377,4312377,Monte Alegre dos Campos,"3,232",Sim,2,2,8,2
RS,43,12385,4312385,Monte Belo do Sul,"2,530",Sim,1,2,7,1
RS,43,12401,4312401,Montenegro,"65,721",Sim,8,4,37,6
RS,43,12427,4312427,Mormaço,"3,113",Sim,2,1,6,1
RS,43,12443,4312443,Morrinhos do Sul,"2,919",Sim,1,1,7,1
RS,43,12450,4312450,Morro Redondo,"6,589",Sim,3,3,10,3
RS,43,12476,4312476,Morro Reuter,"6,513",Sim,,,,
RS,43,12500,4312500,Mostardas,"12,847",Sim,22,5,14,5
RS,43,12609,4312609,Muçum,"4,961",Sim,5,2,11,2
RS,43,12617,4312617,Muitos Capões,"3,173",Sim,2,1,7,2
RS,43,12625,4312625,Muliterno,"1,897",Sim,1,2,5,1
RS,43,12658,4312658,Não-Me-Toque,"17,758",Sim,4,4,18,4
RS,43,12674,4312674,Nicolau Vergueiro,"1,674",Sim,3,1,5,1
RS,43,12708,4312708,Nonoai,"11,633",Sim,3,3,24,3
RS,43,12757,4312757,Nova Alvorada,"3,663",Sim,6,2,10,6
RS,43,12807,4312807,Nova Araçá,"4,826",Sim,2,1,9,1
RS,43,12906,4312906,Nova Bassano,"10,005",Sim,6,4,22,4
RS,43,12955,4312955,Nova Boa Vista,"1,753",Sim,1,1,5,1
RS,43,13003,4313003,Nova Bréscia,"3,337",Sim,1,1,6,1
RS,43,13011,4313011,Nova Candelária,"2,688",Sim,2,1,6,1
RS,43,13037,4313037,Nova Esperança do Sul,"5,410",Sim,2,2,12,2
RS,43,13060,4313060,Nova Hartz,"21,875",Sim,4,4,21,5
RS,43,13086,4313086,Nova Pádua,"2,558",Sim,,,,
RS,43,13102,4313102,Nova Palma,"6,515",Sim,3,3,17,3
RS,43,13201,4313201,Nova Petrópolis,"21,536",Sim,21,9,42,0
RS,43,13300,4313300,Nova Prata,"27,648",Sim,10,5,29,5
RS,43,13334,4313334,Nova Ramada,"2,218",Sim,1,1,6,1
RS,43,13359,4313359,Nova Roma do Sul,"3,717",Sim,1,1,7,1
RS,43,13375,4313375,Nova Santa Rita,"29,905",Sim,10,5,23,5
RS,43,13391,4313391,Novo Cabrais,"4,222",Sim,6,3,8,2
RS,43,13409,4313409,Novo Hamburgo,"247,032",Sim,80,60,198,59
RS,43,13425,4313425,Novo Machado,"3,256",Sim,3,2,12,2
RS,43,13441,4313441,Novo Tiradentes,"2,200",Sim,7,1,6,1
