,id,name,description,State,StateCode,CityCodeSmall,CityName,Population2020,EducationCouncilExists,NurseTechnicians,Nurses,CommunityHealthAgents,Physicians
174,4308607,Garibaldi,Garibaldi,RS,43,8607,Garibaldi,"35,440",Sim,12.0,4.0,13.0,4.0
175,4308656,Garruchos,Garruchos,RS,43,8656,Garruchos,"2,886",Sim,0.0,2.0,8.0,2.0
176,4308706,Gaurama,Gaurama,RS,43,8706,Gaurama,"5,489",Sim,2.0,2.0,16.0,2.0
177,4308805,General Câmara,General Câmara,RS,43,8805,General Câmara,"8,361",Sim,6.0,3.0,17.0,3.0
178,4308854,Gentil,Gentil,RS,43,8854,Gentil,"1,626",Sim,1.0,1.0,5.0,1.0
179,4308904,Getúlio Vargas,Getúlio Vargas,RS,43,8904,Getúlio Vargas,"16,184",Sim,4.0,5.0,4.0,7.0
180,4309001,Giruá,Giruá,RS,43,9001,Giruá,"15,863",Sim,12.0,5.0,34.0,5.0
181,4309050,Glorinha,Glorinha,RS,43,9050,Glorinha,"8,204",Sim,4.0,2.0,10.0,3.0
182,4309100,Gramado,Gramado,RS,43,9100,Gramado,"36,555",Sim,1.0,1.0,3.0,1.0
183,4309126,Gramado dos Loureiros,Gramado dos Loureiros,RS,43,9126,Gramado dos Loureiros,"2,058",Sim,0.0,3.0,6.0,0.0
184,4309159,Gramado Xavier,Gramado Xavier,RS,43,9159,Gramado Xavier,"4,352",Sim,2.0,4.0,10.0,1.0
185,4309209,Gravataí,Gravataí,RS,43,9209,Gravataí,"283,620",Sim,83.0,46.0,159.0,42.0
186,4309258,Guabiju,Guabiju,RS,43,9258,Guabiju,"1,490",Sim,1.0,1.0,4.0,1.0
187,4309308,Guaíba,Guaíba,RS,43,9308,Guaíba,"98,239",Sim,12.0,6.0,0.0,0.0
188,4309407,Guaporé,Guaporé,RS,43,9407,Guaporé,"25,968",Sim,16.0,7.0,43.0,7.0
189,4309506,Guarani das Missões,Guarani das Missões,RS,43,9506,Guarani das Missões,"7,463",Sim,9.0,3.0,20.0,3.0
190,4309555,Harmonia,Harmonia,RS,43,9555,Harmonia,"4,917",Sim,2.0,2.0,9.0,2.0
191,4309571,Herveiras,Herveiras,RS,43,9571,Herveiras,"3,019",Sim,3.0,2.0,6.0,1.0
192,4309605,Horizontina,Horizontina,RS,43,9605,Horizontina,"19,389",Sim,12.0,8.0,40.0,7.0
193,4309654,Hulha Negra,Hulha Negra,RS,43,9654,Hulha Negra,"6,836",Sim,2.0,2.0,10.0,2.0
194,4309704,Humaitá,Humaitá,RS,43,9704,Humaitá,"4,736",Sim,2.0,2.0,11.0,2.0
195,4309753,Ibarama,Ibarama,RS,43,9753,Ibarama,"4,399",Sim,5.0,2.0,10.0,3.0
196,4309803,Ibiaçá,Ibiaçá,RS,43,9803,Ibiaçá,"4,699",Sim,1.0,1.0,8.0,1.0
197,4309902,Ibiraiaras,Ibiraiaras,RS,43,9902,Ibiraiaras,"7,265",Sim,7.0,2.0,16.0,3.0
198,4309951,Ibirapuitã,Ibirapuitã,RS,43,9951,Ibirapuitã,"4,000",Sim,3.0,2.0,11.0,2.0
199,4310009,Ibirubá,Ibirubá,RS,43,10009,Ibirubá,"20,413",Sim,14.0,7.0,39.0,6.0
200,4310108,Igrejinha,Igrejinha,RS,43,10108,Igrejinha,"37,340",Sim,13.0,8.0,47.0,8.0
201,4310207,Ijuí,Ijuí,RS,43,10207,Ijuí,"83,764",Sim,30.0,17.0,119.0,54.0
202,4310306,Ilópolis,Ilópolis,RS,43,10306,Ilópolis,"4,066",Sim,2.0,3.0,10.0,2.0
203,4310330,Imbé,Imbé,RS,43,10330,Imbé,"23,271",Sim,2.0,1.0,5.0,1.0
204,4310363,Imigrante,Imigrante,RS,43,10363,Imigrante,"3,100",Sim,3.0,2.0,7.0,1.0
205,4310405,Independência,Independência,RS,43,10405,Independência,"6,109",Sim,10.0,2.0,16.0,2.0
206,4310413,Inhacorá,Inhacorá,RS,43,10413,Inhacorá,"2,215",Sim,1.0,1.0,7.0,1.0
207,4310439,Ipê,Ipê,RS,43,10439,Ipê,"6,689",Sim,3.0,3.0,16.0,3.0
208,4310462,Ipiranga do Sul,Ipiranga do Sul,RS,43,10462,Ipiranga do Sul,"1,880",Sim,2.0,1.0,5.0,1.0
209,4310504,Iraí,Iraí,RS,43,10504,Iraí,"7,141",Sim,5.0,3.0,17.0,4.0
210,4310538,Itaara,Itaara,RS,43,10538,Itaara,"5,537",Sim,,,,
211,4310553,Itacurubi,Itacurubi,RS,43,10553,Itacurubi,"3,460",Sim,2.0,2.0,8.0,1.0
212,4310579,Itapuca,Itapuca,RS,43,10579,Itapuca,"2,065",Sim,3.0,1.0,8.0,2.0
213,4310603,Itaqui,Itaqui,RS,43,10603,Itaqui,"37,489",Sim,4.0,5.0,26.0,5.0
214,4310652,Itati,Itati,RS,43,10652,Itati,"2,397",Sim,2.0,2.0,8.0,2.0
215,4310702,Itatiba do Sul,Itatiba do Sul,RS,43,10702,Itatiba do Sul,"3,231",Sim,2.0,2.0,10.0,2.0
216,4310751,Ivorá,Ivorá,RS,43,10751,Ivorá,"1,881",Sim,1.0,1.0,5.0,1.0
217,4310801,Ivoti,Ivoti,RS,43,10801,Ivoti,"24,690",Sim,,,,
218,4310850,Jaboticaba,Jaboticaba,RS,43,10850,Jaboticaba,"3,773",Sim,6.0,4.0,10.0,3.0
219,4310876,Jacuizinho,Jacuizinho,RS,43,10876,Jacuizinho,"2,706",Sim,,,,
220,4310900,Jacutinga,Jacutinga,RS,43,10900,Jacutinga,"3,546",Sim,4.0,2.0,8.0,2.0
